and000im_gft_amulet             Tevinter Chantry Amulet
gen_im_trs_gen_statue_04        Silver Statuette
gen_im_trs_gen_sta_cld_r0       Enchanted Staff
gen_im_trs_gen_sta_cld_r1       Ornate Enchanted Staff
gen_im_trs_gen_sta_cld_r2       Greater Enchanted Staff
gen_im_trs_gen_sta_ele_r0       Runed Staff
gen_im_trs_gen_sta_ele_r1       Elegant Runed Staff
gen_im_trs_gen_sta_ele_r2       Commanding Runed Staff
gen_im_trs_gen_sta_fir_r0       Enchanted Staff
gen_im_trs_gen_sta_fir_r1       Runecarved Enchanted Staff
gen_im_trs_gen_sta_fir_r2       Inscribed Enchanted Staff
gen_im_trs_gen_sta_nat_r0       Wooden Staff
gen_im_trs_gen_sta_nat_r1       Carved Wooden Staff
gen_im_trs_gen_sta_nat_r2       Inscribed Wooden Staff
gen_im_trs_gen_sta_phy_r0       Enchanted Staff
gen_im_trs_gen_sta_phy_r1       Ornate Enchanted Staff
gen_im_trs_gen_sta_phy_r2       Greater Enchanted Staff
gen_im_trs_gen_sta_spi_r0       Etched Staff
gen_im_trs_gen_sta_spi_r1       Lyrium-Imbued Etched Staff
gen_im_trs_gen_sta_spi_r2       Runic Etched Staff
gen_im_trs_gen_two_2ha_r0       Battle Axe
gen_im_trs_gen_two_2ha_r1       Superior Battle Axe
gen_im_trs_gen_two_2ha_r2       Enchanted Battle Axe
gen_im_trs_gen_two_2hm_r0       Maul
gen_im_trs_gen_two_2hm_r1       Superior Maul
gen_im_trs_gen_two_2hm_r2       Enchanted Maul
gen_im_trs_gen_two_2hs_r0       Greatsword
gen_im_trs_gen_two_2hs_r1       Superior Greatsword
gen_im_trs_gen_two_2hs_r2       Enchanted Greatsword
gen_im_trs_krk_arc_lbw_r0       Marcher Longbow
gen_im_trs_krk_arc_lbw_r1       Superior Marcher Longbow
gen_im_trs_krk_arc_lbw_r2       Enchanted Marcher Longbow
gen_im_trs_krk_arc_sbw_r0       Marcher Shortbow
gen_im_trs_krk_arc_sbw_r1       Superior Marcher Shortbow
gen_im_trs_krk_arc_sbw_r2       Enchanted Marcher Shortbow
gen_im_trs_krk_crack_armor      Cracked Leather Armor
gen_im_trs_krk_drk_junk1_01     Rusty Metal Spoon
gen_im_trs_krk_drk_junk1_02     Tarnished Silver Spoon
gen_im_trs_krk_drk_junk1_03     Polished Silver Spoon
gen_im_trs_krk_drk_junk1_04     Gem-Encrusted Golden Spoon
gen_im_trs_krk_drk_junk2_01     Pouch of Pebbles
gen_im_trs_krk_drk_junk2_02     Pouch of Colorful Glass Shards
gen_im_trs_krk_drk_junk2_03     Pouch of Chipped Gemstones
gen_im_trs_krk_drk_junk2_04     Pouch of Precious Gemstones
gen_im_trs_krk_grd_junk1_01     Engraved Arm Band
gen_im_trs_krk_grd_junk1_02     Tradesman's Whetstone
gen_im_trs_krk_grd_junk1_03     Custom Harness
gen_im_trs_krk_grd_junk1_04     Silver Crossguard
gen_im_trs_krk_grd_junk2_01     Book of Suggestive Caricature
gen_im_trs_krk_grd_junk2_02     Boot-Lift Insole
gen_im_trs_krk_grd_junk2_03     Truncheon Wax
gen_im_trs_krk_grd_junk2_04     Silver-Gilded Tipstaff
gen_im_trs_krk_g_dagger         City Guard Dagger
gen_im_trs_krk_hgh_junk1_01     Fancy Poison Ring
gen_im_trs_krk_hgh_junk1_02     Broken Silver Mirror
gen_im_trs_krk_hgh_junk1_03     Elegant Belt Knife
gen_im_trs_krk_hgh_junk1_04     Gold Signet Ring
gen_im_trs_krk_hgh_junk2_01     Lace Collar
gen_im_trs_krk_hgh_junk2_02     Velvet Vest
gen_im_trs_krk_hgh_junk2_03     Jeweled Hat Pin
gen_im_trs_krk_hgh_junk2_04     Gemmed Ceremonial Blade
gen_im_trs_krk_hgh_junk3_01     Lace Cuffs
gen_im_trs_krk_hgh_junk3_02     Silver-Threaded Scarf
gen_im_trs_krk_hgh_junk3_03     Gold Flask
gen_im_trs_krk_hgh_junk3_04     Diamond Brooch
gen_im_trs_krk_hvy_boo_r0       Reacher Boots
gen_im_trs_krk_hvy_boo_r1       Superior Reacher Boots
gen_im_trs_krk_hvy_boo_r2       Enchanted Reacher Boots
gen_im_trs_krk_hvy_cht_r0       Reacher Plate Armor
gen_im_trs_krk_hvy_cht_r1       Superior Reacher Plate
gen_im_trs_krk_hvy_cht_r2       Enchanted Reacher Plate
gen_im_trs_krk_hvy_glv_r0       Reacher Gauntlets
gen_im_trs_krk_hvy_glv_r1       Superior Reacher Gauntlets
gen_im_trs_krk_hvy_glv_r2       Enchanter Reacher Gauntlets
gen_im_trs_krk_hvy_hlm_r0       Reacher Helmet
gen_im_trs_krk_hvy_hlm_r1       Superior Reacher Helmet
gen_im_trs_krk_hvy_hlm_r2       Enchanted Reacher Helmet
gen_im_trs_krk_junk1_01         Chipped Serpent Statuette
gen_im_trs_krk_junk1_02         Small Griffon Statuette
gen_im_trs_krk_junk1_03         Onyx Dragon Statuette
gen_im_trs_krk_junk1_04         Polished Marble Andraste Figurine
gen_im_trs_krk_junk2_01         Tattered Pantaloons
gen_im_trs_krk_junk2_02         Soft Flannel Pantaloons
gen_im_trs_krk_junk2_03         Silver Silk Pantaloons
gen_im_trs_krk_junk2_04         Silk-Lined Orlesian Lace Pantalettes
gen_im_trs_krk_low_crossbow     Fereldan Crossbow
gen_im_trs_krk_low_junk1_01     Moth-Eaten Scarf
gen_im_trs_krk_low_junk1_02     Frayed Wool Shawl
gen_im_trs_krk_low_junk1_03     Woven Silk Wrap
gen_im_trs_krk_low_junk1_04     Fox Fur Stole
gen_im_trs_krk_low_junk2_01     Moldy Rag Doll
gen_im_trs_krk_low_junk2_02     Wooden Toy Sword
gen_im_trs_krk_low_junk2_03     Carved Ivory Toy Horse
gen_im_trs_krk_low_junk2_04     Antique Porcelain Doll
gen_im_trs_krk_one_lsw_r0       Marcher Longsword
gen_im_trs_krk_one_lsw_r1       Superior Marcher Longsword
gen_im_trs_krk_one_lsw_r2       Enchanted Marcher Longsword
gen_im_trs_krk_one_mac_r0       Marcher Mace
gen_im_trs_krk_one_mac_r1       Superior Marcher Mace
gen_im_trs_krk_one_mac_r2       Enchanted Marcher Mace
gen_im_trs_krk_shd_met_r0       Marcher Shield
gen_im_trs_krk_shd_met_r1       Superior Marcher Shield
gen_im_trs_krk_shd_met_r2       Enchanted Marcher Shield
gen_im_trs_prf_amu_r0           Corrupted Talisman
gen_im_trs_prf_amu_r1           Ornate Corrupted Talisman
gen_im_trs_prf_amu_r2           Mystic Corrupted Talisman
gen_im_trs_prf_dwarf_shield     Dwarven Shield
gen_im_trs_prf_junk2_01         Small Chunk of Lyrium
gen_im_trs_prf_junk2_02         Cracked Piece of Lyrium
gen_im_trs_prf_junk2_03         Chunk of Lyrium
gen_im_trs_prf_junk2_04         Big Chunk of Lyrium
gen_im_trs_prf_rng_r0           Corrupted Ring
gen_im_trs_prf_rng_r1           Ornate Corrupted Ring
gen_im_trs_prf_rng_r2           Greater Corrupted Ring
gen_im_trs_prf_rocks_01         Odd Dwarven Relic
gen_im_trs_prf_rocks_02         Strange Dwarven Totem
gen_im_trs_prf_rocks_03         Tiny Head Carving
gen_im_trs_prf_rocks_04         Ore of Unknown Origin
gen_im_trs_prf_sta_ele_r0       Corrupted Staff
gen_im_trs_prf_sta_ele_r1       Ornate Corrupted Staff
gen_im_trs_prf_sta_ele_r2       Greater Corrupted Staff
gen_im_trs_prf_sta_phy_r0       Corrupted Staff
gen_im_trs_prf_sta_phy_r1       Ornate Corrupted Staff
gen_im_trs_prf_sta_phy_r2       Greater Corrupted Staff
gen_im_trs_qun_amu_r0           Taamsala Eva
gen_im_trs_qun_amu_r1           Taamsala Iss
gen_im_trs_qun_amu_r2           Taamsala Katoh
gen_im_trs_qun_biscuit_01       Pick Knife Scaler
gen_im_trs_qun_biscuit_02       Oversized Whetstone
gen_im_trs_qun_biscuit_03       Patching Plates
gen_im_trs_qun_biscuit_04       Polishing Silks
gen_im_trs_qun_blt_r0           Nehrappan Eva
gen_im_trs_qun_blt_r1           Nehrappan Iss
gen_im_trs_qun_blt_r2           Nehrappan Katoh
gen_im_trs_qun_epic_sword       Sword of a Thousand Qunari
gen_im_trs_qun_horn_01          Qunari Rations
gen_im_trs_qun_horn_02          Soldier Dyes
gen_im_trs_qun_horn_03          Leather Haversack
gen_im_trs_qun_horn_04          Oil Horn-Balm
gen_im_trs_qun_hvy_boo_r0       Sataam-Taar Eva
gen_im_trs_qun_hvy_boo_r1       Sataam-Taar Iss
gen_im_trs_qun_hvy_boo_r2       Sataam-Taar Katoh
gen_im_trs_qun_hvy_cht_r0       Antaam-Taar Eva
gen_im_trs_qun_hvy_cht_r1       Antaam-Taar Iss
gen_im_trs_qun_hvy_cht_r2       Antaam-Taar Katoh
gen_im_trs_qun_hvy_glv_r0       Notas-Taar Eva
gen_im_trs_qun_hvy_glv_r1       Notas-Taar Iss
gen_im_trs_qun_hvy_glv_r2       Notas-Taar Katoh
gen_im_trs_qun_hvy_hlm_r0       Asalaa-Taar Eva
gen_im_trs_qun_hvy_hlm_r1       Asalaa-Taar Iss
gen_im_trs_qun_hvy_hlm_r2       Asalaa-Taar Katoh
gen_im_trs_qun_lgt_boo_r0       Mertam-Saar Eva
gen_im_trs_qun_lgt_boo_r1       Mertam-Saar Iss
gen_im_trs_qun_lgt_boo_r2       Mertam-Saar Katoh
gen_im_trs_qun_lgt_cht_r0       Taaras-Saar Eva
gen_im_trs_qun_lgt_cht_r1       Taaras-Saar Iss
gen_im_trs_qun_lgt_cht_r2       Taaras-Saar Katoh
gen_im_trs_qun_lgt_glv_r0       Aqaam-Saar Eva
gen_im_trs_qun_lgt_glv_r1       Aqaam-Saar Iss
gen_im_trs_qun_lgt_glv_r2       Aqaam-Saar Katoh
gen_im_trs_qun_lgt_hlm_r0       Asabas-Saar Eva
gen_im_trs_qun_lgt_hlm_r1       Asabas-Saar Iss
gen_im_trs_qun_lgt_hlm_r2       Asabas-Saar Katoh
gen_im_trs_qun_sta_cld_r0       Saartoh Bas-Tic Eva
gen_im_trs_qun_sta_cld_r1       Saartoh Bas-Tic Iss
gen_im_trs_qun_sta_cld_r2       Saartoh Bas-Tic Katoh
gen_im_trs_qun_sta_fir_r0       Saartoh Bas-Vat Eva
gen_im_trs_qun_sta_fir_r1       Saartoh Bas-Vat Iss
gen_im_trs_qun_sta_fir_r2       Saartoh Bas-Vat Katoh
gen_im_trs_qun_sta_nat_r0       Saartoh Bas-Kos Eva
gen_im_trs_qun_sta_nat_r1       Saartoh Bas-Kos Iss
gen_im_trs_qun_sta_nat_r2       Saartoh Bas-Kos Katoh
gen_im_trs_qun_two_2ha_r0       Taam-Kas Eva
gen_im_trs_qun_two_2ha_r1       Taam-Kas Iss
gen_im_trs_qun_two_2ha_r2       Taam-Kas Katoh
gen_im_trs_qun_two_2hm_r0       Sata-Kas Eva
gen_im_trs_qun_two_2hm_r1       Sata-Kas Iss
gen_im_trs_qun_two_2hm_r2       Sata-Kas Katoh
gen_im_trs_qun_two_2hs_r0       Valo-Kas Eva
gen_im_trs_qun_two_2hs_r1       Valo-Kas Iss
gen_im_trs_qun_two_2hs_r2       Valo-Kas Katoh
gen_im_trs_rdr_arc_lbw_r0       Mariner Longbow
gen_im_trs_rdr_arc_lbw_r1       Superior Mariner Longbow
gen_im_trs_rdr_arc_lbw_r2       Enchanted Mariner Longbow
gen_im_trs_rdr_hvy_boo_r0       Raider Heavy Boots
gen_im_trs_rdr_hvy_boo_r1       Raider Superior Heavy Boots
gen_im_trs_rdr_hvy_boo_r2       Raider Enchanted Heavy Boots
gen_im_trs_rdr_hvy_cht_r0       Raider Plate
gen_im_trs_rdr_hvy_cht_r1       Raider Superior Plate
gen_im_trs_rdr_hvy_cht_r2       Raider Enchanted Plate
gen_im_trs_rdr_hvy_glv_r0       Raider Gauntlets
gen_im_trs_rdr_hvy_glv_r1       Raider Superior Gauntlets
gen_im_trs_rdr_hvy_glv_r2       Raider Enchanted Gauntlets
gen_im_trs_rdr_hvy_hlm_r0       Raider Helm
gen_im_trs_rdr_hvy_hlm_r1       Raider Superior Helm
gen_im_trs_rdr_hvy_hlm_r2       Raider Enchanted Helm
gen_im_trs_rdr_junk1_01         Empty Stained Bottle
gen_im_trs_rdr_junk1_02         Bottle of Rotgut
gen_im_trs_rdr_junk1_03         Bottle of Potent Moonshine
gen_im_trs_rdr_junk1_04         Bottle of Aged Antivan Brandy
gen_im_trs_rdr_junk2_01         Rotted Wooden Peg Leg
gen_im_trs_rdr_junk2_02         Leather Eye Patch
gen_im_trs_rdr_junk2_03         Stuffed Parrot
gen_im_trs_rdr_junk2_04         Polished Steel Hook
gen_im_trs_rdr_med_boo_r0       Raider Heavy Boots
gen_im_trs_rdr_med_boo_r1       Raider Superior Heavy Boots
gen_im_trs_rdr_med_boo_r2       Raider Enchanted Heavy Boots
gen_im_trs_rdr_med_cht_r0       Light Raider Armor
gen_im_trs_rdr_med_cht_r1       Superior Light Raider Armor
gen_im_trs_rdr_med_cht_r2       Enchanted Light Raider Armor
gen_im_trs_rdr_med_glv_r0       Raider Gloves
gen_im_trs_rdr_med_glv_r1       Superior Raider Gloves
gen_im_trs_rdr_med_glv_r2       Enchanted Raider Gloves
gen_im_trs_rdr_med_hlm_r0       Light Raider Helm
gen_im_trs_rdr_med_hlm_r1       Superior Light Raider Helm
gen_im_trs_rdr_med_hlm_r2       Enchanted Light Raider Helm
gen_im_trs_rdr_one_lsw_r0       Raider Blade
gen_im_trs_rdr_one_lsw_r1       Superior Raider Blade
gen_im_trs_rdr_one_lsw_r2       Enchanted Raider Blade
gen_im_trs_rdr_one_mac_r0       Raider Club
gen_im_trs_rdr_one_mac_r1       Superior Raider Club
gen_im_trs_rdr_one_mac_r2       Enchanted Raider Club
gen_im_trs_rdr_shd_wdn_r0       Mariner Shield
gen_im_trs_rdr_shd_wdn_r1       Superior Mariner Shield
gen_im_trs_rdr_shd_wdn_r2       Enchanted Mariner Shield
gen_im_trs_rdr_two_2ha_r0       Blood Axe
gen_im_trs_rdr_two_2ha_r1       Superior Blood Axe
gen_im_trs_rdr_two_2ha_r2       Enchanted Blood Axe
gen_im_trs_rdr_two_2hm_r0       Raider Maul
gen_im_trs_rdr_two_2hm_r1       Superior Raider Maul
gen_im_trs_rdr_two_2hm_r2       Enchanted Raider Maul
gen_im_trs_rdr_two_2hs_r0       Saber
gen_im_trs_rdr_two_2hs_r1       Superior Saber
gen_im_trs_rdr_two_2hs_r2       Enchanted Saber
gen_im_trs_slv_hvy_boo_r0       Scavenged Heavy Boots
gen_im_trs_slv_hvy_boo_r1       Commissioned Heavy Boots
gen_im_trs_slv_hvy_boo_r2       Tevinter Heavy Boots
gen_im_trs_slv_hvy_cht_r0       Scavenged Plate Armor
gen_im_trs_slv_hvy_cht_r1       Commissioned Plate Armor
gen_im_trs_slv_hvy_cht_r2       Tevinter Plate Armor
gen_im_trs_slv_hvy_glv_r0       Scavenged Plate Gloves
gen_im_trs_slv_hvy_glv_r1       Commissioned Plate Gloves
gen_im_trs_slv_hvy_glv_r2       Tevinter Plate Gloves
gen_im_trs_slv_hvy_hlm_r0       Scavenged Plate Helm
gen_im_trs_slv_hvy_hlm_r1       Commissioned Plate Helm
gen_im_trs_slv_hvy_hlm_r2       Tevinter Plate Helm
gen_im_trs_slv_junk1_01         Frayed Rope
gen_im_trs_slv_junk1_02         Frayed Slaver Whip
gen_im_trs_slv_junk1_03         Slaver Rope
gen_im_trs_slv_junk1_04         Slaver Whip
gen_im_trs_slv_junk2_01         Torn Slaver Invoice
gen_im_trs_slv_junk2_02         Smudged Slaver Invoice
gen_im_trs_slv_junk2_03         Slaver Invoice
gen_im_trs_slv_junk2_04         Slaver Invoice and Insignia
gen_im_trs_slv_lgt_boo_r0       Tevinter Patterned Shoes
gen_im_trs_slv_lgt_boo_r1       Tevinter Freemage Boots
gen_im_trs_slv_lgt_boo_r2       Magisters' Boots
gen_im_trs_slv_lgt_cht_r0       Free Adept Robes
gen_im_trs_slv_lgt_cht_r1       Free Magus Robes
gen_im_trs_slv_lgt_cht_r2       Tevinter Magisters' Robes
gen_im_trs_slv_lgt_glv_r0       Cloth Gauntlets
gen_im_trs_slv_lgt_glv_r1       Free-Sign Cloth Gloves
gen_im_trs_slv_lgt_glv_r2       Tevinter-Cut Cloth Gauntlets
gen_im_trs_slv_lgt_hlm_r0       Adepts' Cloth Hood
gen_im_trs_slv_lgt_hlm_r1       Free-Sign Hood
gen_im_trs_slv_lgt_hlm_r2       Tevinter-Cut Hood
gen_im_trs_slv_one_axe_r0       Mantakers' Roughwork Axe
gen_im_trs_slv_one_axe_r1       Mantakers' Hobbler - Refined
gen_im_trs_slv_one_axe_r2       Mantakers' Willbreaker - Masterwork
gen_im_trs_slv_shd_wdn_r0       Blank Heraldic Shield
gen_im_trs_slv_shd_wdn_r1       Roughwood Shield
gen_im_trs_slv_shd_wdn_r2       Masters' Wall
gen_im_trs_slv_sta_cld_r0       Roughwork Bound Staff
gen_im_trs_slv_sta_cld_r1       Roughwork Adept Staff
gen_im_trs_slv_sta_cld_r2       Roughwork Empowered Staff
gen_im_trs_slv_sta_ele_r0       Commissioned Adept Staff
gen_im_trs_slv_sta_ele_r1       Commissioned Enchanters' Staff
gen_im_trs_slv_sta_ele_r2       Commissioned Magus Staff
gen_im_trs_slv_sta_phy_r0       Burlwood Staff - Bound
gen_im_trs_slv_sta_phy_r1       Burlwood Staff - Channeled
gen_im_trs_slv_sta_phy_r2       Burlwood Staff - Empowered
gen_im_trs_tmp_hvy_boo_r0       Templar Boots - Heavy Issue
gen_im_trs_tmp_hvy_boo_r1       Templar Boots - Superior Heavy Issue
gen_im_trs_tmp_hvy_boo_r2       Templar Boots - Enchanted Heavy Issue
gen_im_trs_tmp_hvy_cht_r0       Templar Armor - Heavy Issue
gen_im_trs_tmp_hvy_cht_r1       Templar Armor - Superior Heavy Issue
gen_im_trs_tmp_hvy_cht_r2       Templar Armor - Enchanted Heavy Issue
gen_im_trs_tmp_hvy_glv_r0       Templar Gloves - Heavy Issue
gen_im_trs_tmp_hvy_glv_r1       Templar Gloves - Superior Heavy Issue
gen_im_trs_tmp_hvy_glv_r2       Templar Gloves - Enchanted Heavy Issue
gen_im_trs_tmp_hvy_hlm_r0       Templar Helm - Heavy Issue
gen_im_trs_tmp_hvy_hlm_r1       Templar Helm - Superior Heavy Issue
gen_im_trs_tmp_hvy_hlm_r2       Templar Helm - Enchanted Heavy Issue
gen_im_trs_tmp_insignia_01      Cracked Templar Insignia
gen_im_trs_tmp_insignia_02      Templar Insignia
gen_im_trs_tmp_insignia_03      Silver Templar Insignia
gen_im_trs_tmp_insignia_04      Gold Templar Insignia
gen_im_trs_tmp_junk2_01         Empty Vial of Lyrium
gen_im_trs_tmp_junk2_02         Small Vial of Lyrium
gen_im_trs_tmp_junk2_03         Vial of Lyrium
gen_im_trs_tmp_junk2_04         Large Vial of Lyrium
gen_im_trs_tmp_med_boo_r0       Templar Boots - Light Issue
gen_im_trs_tmp_med_boo_r1       Templar Boots - Superior Light Issue
gen_im_trs_tmp_med_boo_r2       Templar Boots - Enchanted Light Issue
gen_im_trs_tmp_med_cht_r0       Templar Armor - Light Issue
gen_im_trs_tmp_med_cht_r1       Templar Armor - Superior Light Issue
gen_im_trs_tmp_med_cht_r2       Templar Armor - Enchanted Light Issue
gen_im_trs_tmp_med_glv_r0       Templar Gloves - Light Issue
gen_im_trs_tmp_med_glv_r1       Templar Gloves - Superior Light Issue
gen_im_trs_tmp_med_glv_r2       Templar Gloves - Enchanted Light Issue
gen_im_trs_tmp_med_hlm_r0       Templar Helm - Light Issue
gen_im_trs_tmp_med_hlm_r1       Templar Helm - Superior Light Issue
gen_im_trs_tmp_med_hlm_r2       Templar Helm - Enchanted Light Issue
gen_im_trs_tmp_one_axe_r0       Templar Axe - Standard Issue
gen_im_trs_tmp_one_axe_r1       Templar Axe - Superior Issue
gen_im_trs_tmp_one_axe_r2       Templar Axe - Enchanted Issue
gen_im_trs_tmp_one_lsw_r0       Templar Longsword - Standard Issue
gen_im_trs_tmp_one_lsw_r1       Templar Longsword - Superior Issue
gen_im_trs_tmp_one_lsw_r2       Templar Longsword - Enchanted Issue
gen_im_trs_tmp_one_mac_r0       Templar Mace - Standard Issue
gen_im_trs_tmp_one_mac_r1       Templar Mace - Superior Issue
gen_im_trs_tmp_one_mac_r2       Templar Mace - Enchanted Issue
gen_im_trs_tmp_shd_met_r0       Templar Defender - Standard Issue
gen_im_trs_tmp_shd_met_r1       Templar Defender - Superior Issue
gen_im_trs_tmp_shd_met_r2       Templar Defender - Enchanted Issue
gen_im_trs_tmp_temp_armor       Templar Armor
gen_im_trs_uni_bks_01           Tome of the Slumbering Elders
gen_im_wep_mag_sta_act0_01      Free Man's Staff
gen_im_wep_mag_sta_act0_02      Mercenary’s Staff
gen_im_wep_mag_sta_act0_03      “Imported” Circle Staff
gen_im_wep_mag_sta_act0_04      Blemished
gen_im_wep_mag_sta_act1_01      Chanters' Staff
gen_im_wep_mag_sta_act1_02      The Hypnotist's Staff
gen_im_wep_mag_sta_act1_03      The Turncoat's Walking Stick
gen_im_wep_mag_sta_act1_04      Staff of the Primal Order
gen_im_wep_mag_sta_act1_05      Acolyte's Staff
gen_im_wep_mag_sta_act2_01      Stone's Breath
gen_im_wep_mag_sta_act2_02      Hubris
gen_im_wep_mag_sta_act2_03      Wintersbreath
gen_im_wep_mag_sta_act2_04      Crooked Staff
gen_im_wep_mag_sta_act2_05      Sketch's Resplit-Shaft
gen_im_wep_mag_sta_act2_06      Acolyte's Staff
gen_im_wep_mag_sta_act2_07      Enchanter's Staff
gen_im_wep_mag_sta_act3_01      Bassrath-Kata
gen_im_wep_mag_sta_act3_02      The Sylvan's Heart
gen_im_wep_mag_sta_act3_03      Voracity
gen_im_wep_mag_sta_act3_04      The Tiger's Tail
gen_im_wep_mag_sta_act3_05      Torch of Falon'Din
gen_im_wep_mag_sta_act3_06      Eye of the Storm
gen_im_wep_mag_sta_act3_07      Mutiny
gen_im_wep_mag_sta_act3_08      Architect's Legacy
gen_im_wep_mag_sta_act3_09      Corrupted Acolyte's Staff
gen_im_wep_mag_sta_default      Basic Staff
gen_im_wep_mag_sta_iconic       Champion's Warstaff
gen_im_wep_mag_sta_ico_fake     Champion's Warstaff
gen_im_wep_mag_sta_lore_01      Staff of Violation
gen_im_wep_mag_sta_lore_02      Cold-Blooded
gen_im_wep_mag_sta_lore_03      Valdasine
gen_im_wep_mag_sta_start        Apostate Staff
gen_im_wep_rog_arc_act0_01      Weathered Bow
gen_im_wep_rog_arc_act0_02      Mercenary's Recurve
gen_im_wep_rog_arc_act0_03      Undeclared Orlesian Longbow
gen_im_wep_rog_arc_act0_04      Renegade's Ruin
gen_im_wep_rog_arc_act1_01      Nevarran Lancer
gen_im_wep_rog_arc_act1_02      The Runt's Spiker
gen_im_wep_rog_arc_act1_03      Longtouch
gen_im_wep_rog_arc_act1_04      The Trepanner's Gift
gen_im_wep_rog_arc_act1_05      Cracked Bow
gen_im_wep_rog_arc_act2_01      Borderfall
gen_im_wep_rog_arc_act2_02      Felons' Punch-Gut
gen_im_wep_rog_arc_act2_03      Swarm
gen_im_wep_rog_arc_act2_04      Quills of the Heretic
gen_im_wep_rog_arc_act2_05      The Heavens' Answer
gen_im_wep_rog_arc_act2_06      Mont de Glace Strand
gen_im_wep_rog_arc_act2_07      Recurve Bow
gen_im_wep_rog_arc_act3_01      Bassrath-Kata
gen_im_wep_rog_arc_act3_02      Cynoeswr Sain
gen_im_wep_rog_arc_act3_03      The Runner's Retort
gen_im_wep_rog_arc_act3_04      Crosscut Composite
gen_im_wep_rog_arc_act3_05      Righteous Rain
gen_im_wep_rog_arc_act3_06      Truebow
gen_im_wep_rog_arc_default      Basic Longbow
gen_im_wep_rog_arc_lore_01      Jackal's Longbow
gen_im_wep_rog_arc_lore_02      Absolution
gen_im_wep_rog_arc_lore_03      Bianca
gen_im_wep_rog_arc_start        Fereldan Shortbow
gen_im_wep_rog_dua_act0_01      Hunter's Skinning Knife
gen_im_wep_rog_dua_act0_02      Mercenary's Shanker
gen_im_wep_rog_dua_act0_03      Enforcer’s Blade
gen_im_wep_rog_dua_act0_04      Blemished Dagger
gen_im_wep_rog_dua_act1_01      Bloodletter
gen_im_wep_rog_dua_act1_02      The Bodice Ripper
gen_im_wep_rog_dua_act1_03      Blade of Red Birth
gen_im_wep_rog_dua_act1_04      Thrice-Bound
gen_im_wep_rog_dua_act1_05      Cruel Dagger
gen_im_wep_rog_dua_act1_06      Tarnished Dagger
gen_im_wep_rog_dua_act1_07      Arm of Adruil
gen_im_wep_rog_dua_act2_01      Chum-Cutter
gen_im_wep_rog_dua_act2_02      Honeycut
gen_im_wep_rog_dua_act2_03      Stitch-Maker
gen_im_wep_rog_dua_act2_04      Shine
gen_im_wep_rog_dua_act2_05      The Tiny Cut (413 of 1000)
gen_im_wep_rog_dua_act2_06      Seven Deaths
gen_im_wep_rog_dua_act2_07      Guild Dagger
gen_im_wep_rog_dua_act2_08      Coterie Shiv
gen_im_wep_rog_dua_act3_01      The Offhand Blade
gen_im_wep_rog_dua_act3_02      Bassrath-Kata
gen_im_wep_rog_dua_act3_03      Blade of the Many
gen_im_wep_rog_dua_act3_04      Red Jenny Backbiter
gen_im_wep_rog_dua_act3_05      Tine
gen_im_wep_rog_dua_act3_06      The Pairing Knife
gen_im_wep_rog_dua_act3_07      Ragged Edge
gen_im_wep_rog_dua_act3_08      Disciple's Blade
gen_im_wep_rog_dua_act3_09      Spider's Heart
gen_im_wep_rog_dua_act3_10      Shadow's Claw
gen_im_wep_rog_dua_default      Basic Dagger
gen_im_wep_rog_dua_iconic       Champion's Edge
gen_im_wep_rog_dua_lore_01      Carta's Right-Hand
gen_im_wep_rog_dua_lore_02      Finesse
gen_im_wep_rog_dua_lore_03      Carta's Left-Hand
gen_im_wep_rog_dua_start        Fereldan Dagger
gen_im_wep_war_one_act0_01      Landsman's Cudgel
gen_im_wep_war_one_act0_02      Mercenary's Blade
gen_im_wep_war_one_act0_03      Smuggled Fereldan Blade
gen_im_wep_war_one_act0_04      Cammer's Reach
gen_im_wep_war_one_act1_01      Overland Render
gen_im_wep_war_one_act1_02      Edge of Song and Glory
gen_im_wep_war_one_act1_03      Palvo's Cocksure Cleaver
gen_im_wep_war_one_act1_04      Thudpucker's Fist
gen_im_wep_war_one_act1_05      Trust and Cut Blade
gen_im_wep_war_one_act1_06      Maelstrom
gen_im_wep_war_one_act1_07      Notched Sword
gen_im_wep_war_one_act2_01      Red Earth Long One
gen_im_wep_war_one_act2_02      Sundarin Thunder
gen_im_wep_war_one_act2_03      Windsong Axe
gen_im_wep_war_one_act2_04      The Wailer
gen_im_wep_war_one_act2_05      One-Cut
gen_im_wep_war_one_act2_06      Markham Heart Stopper
gen_im_wep_war_one_act2_07      Royeaux One and Two
gen_im_wep_war_one_act2_08      Darktown Blade
gen_im_wep_war_one_act3_01      Bassrath-Kata
gen_im_wep_war_one_act3_02      Perrin's Nail
gen_im_wep_war_one_act3_03      Hack
gen_im_wep_war_one_act3_04      Smooth Rasp
gen_im_wep_war_one_act3_05      The Weight
gen_im_wep_war_one_act3_06      The Bringer of Silence
gen_im_wep_war_one_act3_07      Woodsman's Ire
gen_im_wep_war_one_act3_08      Raider Sword
gen_im_wep_war_one_act3_09      City Guard Sword
gen_im_wep_war_one_act3_10      Sword of the Antaam
gen_im_wep_war_one_default      Basic Longsword
gen_im_wep_war_one_lore_01      Sataareth
gen_im_wep_war_one_lore_02      Aurvar’s Prize
gen_im_wep_war_one_lore_03      The Vague Blade
gen_im_wep_war_one_lore_04      Glandivalis
gen_im_wep_war_one_start        Fereldan Longsword
